origen,destino,tipo_dia,viajes
06050,41091,festivo,123.742
08101,41091,laborable,122.66
29020_AM,29067,festivo,122.45100000000001
28005,41091,laborable,121.297
48020,29067,laborable,121.141
38023,41091,laborable,120.571
41084,41091,festivo,120.52499999999999
FR108,41091,festivo,120.121
14039_AM,29067,festivo,120.108
29088,41091,laborable,119.995
41901,41091,festivo,119.041
07040,29067,festivo,117.88
21058_AM,41091,laborable,117.70700000000001
11002,29067,festivo,117.34
21011,41091,festivo,116.775
06141_AM,41091,festivo,116.375
18021,41091,festivo,116.292
FR106,29067,laborable,116.169
01059,41091,festivo,115.658
13087,29067,laborable,115.38
FRJ13,29067,laborable,115.191
18171_AM,29067,laborable,115.02
18147,29067,festivo,114.669
06050,41091,laborable,114.388
04003,29067,festivo,113.97
23055,41091,festivo,113.086
14052,41091,laborable,112.94
FRL06,29067,laborable,112.765
21006,41091,laborable,112.521
18101,29067,festivo,112.428
41024,29067,laborable,112.043
11011_AM,29067,festivo,111.972
21076_AM,41091,festivo,111.909
18116_AM,29067,festivo,111.751
06088,41091,festivo,111.703
21006,41091,festivo,111.554
14055,41091,laborable,110.95
14017,29067,laborable,110.827
14060_AM,41091,laborable,110.539
41093,29067,laborable,110.318
14067,41091,laborable,110.036
29055,41091,festivo,109.99600000000001
13071,29067,laborable,109.895
11017,41091,festivo,109.849
18062,29067,festivo,109.80799999999999
48904_AM,29067,laborable,109.464
21063,41091,laborable,108.878
18145,29067,festivo,108.622
18102_AM,29067,festivo,108.42
15078,41091,laborable,107.889
FRI12,41091,laborable,107.783
18047,29067,laborable,107.555
41052,29067,laborable,107.27499999999999
11028,29067,laborable,106.785
14045_AM,41091,laborable,106.741
FRE11,29067,laborable,106.307
11013,29067,festivo,106.09
11010,41091,festivo,105.469
46250,29067,festivo,105.267
29020_AM,41091,festivo,104.938
06060_AM,41091,laborable,104.193
06108,41091,laborable,104.086
41014,41091,laborable,103.765
11038,29067,laborable,103.551
